participant_id	session_id	task	bids_run	matlab_run_id	stimulus_name	eye	mapping_confidence	mapping_method	ProtocolName	SeriesNumber
sub-023	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-023	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-023	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-023	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-024	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-024	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-024	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-024	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-024	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	36
sub-024	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	40
sub-024	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	44
sub-024	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	48
sub-025	ses-01	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	39
sub-025	ses-01	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	43
sub-025	ses-01	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	27
sub-025	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	31
sub-025	ses-02	movie	07	4	Movie2B.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie4_AP	39
sub-025	ses-02	movie	05	3	Movie1B.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie3_AP	35
sub-025	ses-02	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
sub-025	ses-02	movie	01	1	Movie1A.mp4	left	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie1_AP	23
sub-026	ses-01	movie	03	2	Movie2A.mp4	right	HIGH	ProtocolName_MovieN_to_matlab_run_id+selected_run_id_mat_present	Movie2_AP	27
