file_path	subject	session	variables	classification	potential_BIDS_destination	notes
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/October-15-2023_ 9-50-08_AM__scan_info_for_subject_SUBG04__selected_run_is_1__fmri_number_is1.mat	SUBG004	ses-01	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sun Oct 15 09:50:08 2023; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/October-15-2023_ 9-50-37_AM__Subject_is_SUBG04__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	SUBG004	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:50:37 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/October-15-2023_ 9-54-27_AM__scan_info_for_subject_SUBG04__selected_run_is_4__fmri_number_is2.mat	SUBG004	ses-01	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sun Oct 15 09:54:27 2023; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/October-15-2023_ 9-54-50_AM__Subject_is_SUBG04__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	SUBG004	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:54:50 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/October-15-2023_ 9-59-28_AM__scan_info_for_subject_SUBG04__selected_run_is_2__fmri_number_is3.mat	SUBG004	ses-01	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sun Oct 15 09:59:28 2023; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/October-15-2023_ 9-59-45_AM__Subject_is_SUBG04__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	SUBG004	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:59:45 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/October-15-2023_10-03-36_AM__scan_info_for_subject_SUBG04__selected_run_is_5__fmri_number_is4.mat	SUBG004	ses-01	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sun Oct 15 10:03:36 2023; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/fMRI_1.mat	SUBG004	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:43:39 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/fMRI_2.mat	SUBG004	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:50:37 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/fMRI_3.mat	SUBG004	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:54:50 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/fMRI_4.mat	SUBG004	ses-01	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-01/matlab/stim_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:59:45 2023; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/runs_random.mat	SUBG004	ses-01	Devices:struct[1x8]; Stim_order_selected:double[1x12]; absMaxIndex:double[1x1]; absMeanIndex:double[1x1]; absMinIndex:double[1x1]; ans:double[1x1]; black:double[1x3]; blue:double[1x3]; centerX:double[1x1]; centerY:double[1x1]; color_poly:double[1x3]; comment:char[1]; conditionEnd:double[1x1]; conditionNone:double[1x1]; conditionStim:double[1x1]; currentConditionStartTime:double[1x1]; currentStimulus:double[1x1]; cycleBaseline:double[1x1]; cycleStim:double[1x1]; degPerPix:double[1x1]; diameter:double[1x2]; eye:double[1x1]; fMRI_number:double[1x1]; firstBaselineEnd:double[1x1]; firstPress:double[1x256]; fixBackRect:double[1x4]; fixColor:double[1x3]; fixRadius:double[1x1]; fixRadius_inner:double[1x1]; fixRect:double[1x4]; fixRect_inner:double[1x4]; fps:double[1x1]; framePoly:double[12x2]; framecount:double[1x1]; generateStimulus:function[1x1]; gratingRect:double[1x4]; gray:double[1x3]; grey:double[1x3]; i:double[1x1]; ifi:double[1x1]; keyID:double[1x256]; keyPress:double[1x1]; keyPressID:double[1x256]; keyTime:double[1x1]; keysOfInterest:double[1x256]; laststate:double[1x1]; nextT:double[1x1]; numCycles:double[1x1]; oldKeyID:double[1x256]; paradigm:double[26x2]; paradigmNumber:double[1x1]; pixPerDeg:double[1x1]; pressed:double[1x1]; psychtoolbox_forp_id:double[1x1]; radius:double[1x2]; red:double[1x3]; resultdir:char[1]; run:double[1x1]; runParadigmFinal:double[26x2]; run_number:double[1x1]; runs:double[1x1]; runs_random:double[1x2]; s:double[1x1]; scan:struct[1x1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenProperties:struct[1x1]; screenWidth:double[1x1]; screens:double[1x3]; start_ask:cell[1x1]; start_ask_yes_no:char[1]; state:double[1x1]; stereoMode:double[1x1]; stim:cell[1x12]; stimOrder:double[1x1]; stimRadius:double[1x2]; stimRunIndices:double[1x12x3]; stimulusTexture:double[1x1]; t:double[1x1]; text:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; timeProperties:struct[1x1]; trigger:logical[1x1]; vbl:double[12718x3]; white:double[1x3]; white_line_size:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x:cell[1x1]; x0:double[1x1]; xEnd:double[1x1]; y0:double[1x1]; yEnd:double[1x1]; __function_workspace__:uint8[1x16704]	task timing	sourcedata/SUBG004/ses-01/matlab/run_workspace/	format=MATLAB 5.0; created_on=Sun Oct 15 10:03:36 2023                                        ¿; Psychtoolbox workspace dump: paradigm timing (vbl), Stim_order_selected, keyPress/firstPress, screen geometry; Also contains sparse behavioral key logs; classified as task timing for BIDS events; BIDS: richest timing source per completed run; large lab intermediate if scan_info present
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/2-Grating/Results/runs_random_record_SUBG04.mat	SUBG004	ses-01	runs_random_record:double[1x6]	task timing	sourcedata/SUBG004/ses-01/matlab/run_order/	format=MATLAB 5.0; created_on=Sun Oct 15 09:43:03 2023; Randomized run-ID order for the session; BIDS: useful for mapping run index → paradigm; sourcedata
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/3-Movie_Data/Results/October-15-2023_10-04-31_AM_Subject_is_SUBG04_selected_run_id_1.mat	SUBG004	ses-01	ans:double[1x1]; answer:char[1]; change_eye:double[1x1]; comment:char[1]; outputFile:char[1]; outputFileID:double[1x1]; resultdir:char[1]; run_id:double[1x1]; t:char[1]; x:cell[1x1]; y:cell[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/run_selection/	format=MATLAB 5.0; created_on=Sun Oct 15 10:04:31 2023; Operator run-selection log (run_id, subject id cells, optional comment); BIDS: lab intermediate; low priority vs scan_info / stim_order
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/3-Movie_Data/Results/October-15-2023_10-10-43_AM_Subject_is_SUBG04_selected_run_id_2.mat	SUBG004	ses-01	ans:double[1x1]; answer:char[1]; change_eye:double[1x1]; comment:char[1]; outputFile:char[1]; outputFileID:double[1x1]; resultdir:char[1]; run_id:double[1x1]; t:char[1]; x:cell[1x1]; y:cell[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/run_selection/	format=MATLAB 5.0; created_on=Sun Oct 15 10:10:43 2023; Operator run-selection log (run_id, subject id cells, optional comment); BIDS: lab intermediate; low priority vs scan_info / stim_order
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/3-Movie_Data/Results/October-15-2023_10-15-13_AM_Subject_is_SUBG04_selected_run_id_3.mat	SUBG004	ses-01	ans:double[1x1]; answer:char[1]; change_eye:double[1x1]; comment:char[1]; outputFile:char[1]; outputFileID:double[1x1]; resultdir:char[1]; run_id:double[1x1]; t:char[1]; x:cell[1x1]; y:cell[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/run_selection/	format=MATLAB 5.0; created_on=Sun Oct 15 10:15:13 2023; Operator run-selection log (run_id, subject id cells, optional comment); BIDS: lab intermediate; low priority vs scan_info / stim_order
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04-SESSION01-2023OCT15/SUBG04-SESSION01-2023OCT15-MATLAB/3-Movie_Data/Results/October-15-2023_10-19-05_AM_Subject_is_SUBG04_selected_run_id_4.mat	SUBG004	ses-01	ans:double[1x1]; answer:char[1]; change_eye:double[1x1]; comment:char[1]; outputFile:char[1]; outputFileID:double[1x1]; resultdir:char[1]; run_id:double[1x1]; t:char[1]; x:cell[1x1]; y:cell[1x1]	task timing	sourcedata/SUBG004/ses-01/matlab/run_selection/	format=MATLAB 5.0; created_on=Sun Oct 15 10:19:05 2023; Operator run-selection log (run_id, subject id cells, optional comment); BIDS: lab intermediate; low priority vs scan_info / stim_order
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/1-Check_FOV_and_EyeTracking/Results/April-02-2024_10-09-47_AM  The Right Eye is _ eye =1 .mat	SUBG004	ses-02	Black:double[1x3]; Blue:double[1x3]; Burgundy:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Orange:double[1x3]; Purple:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect10:double[1x4]; fixRect11:double[1x4]; fixRect12:double[1x4]; fixRect13:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; fixRect6:double[1x4]; fixRect7:double[1x4]; fixRect8:double[1x4]; fixRect9:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBG004/ses-02/eyetrack/setup/	format=MATLAB 5.0; created_on=Tue Apr  2 10:09:47 2024; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/1-Check_FOV_and_EyeTracking/Results/April-13-2024_ 9-44-40_AM  The Right Eye is _ eye =1 .mat	SUBG004	ses-02	Black:double[1x3]; Blue:double[1x3]; Burgundy:double[1x3]; Cyan:double[1x3]; Gray:double[1x3]; Green:double[1x3]; Orange:double[1x3]; Purple:double[1x3]; Red:double[1x3]; TrigKey:double[1x1]; White:double[1x3]; Yellow:double[1x3]; ans:double[1x1]; centerX:double[1x1]; centerY:double[1x1]; choose_mode:double[1x1]; degPerPix:double[1x1]; escapeKey:double[1x1]; eye:double[1x1]; fixRadius:double[1x1]; fixRect1:double[1x4]; fixRect10:double[1x4]; fixRect11:double[1x4]; fixRect12:double[1x4]; fixRect13:double[1x4]; fixRect2:double[1x4]; fixRect3:double[1x4]; fixRect4:double[1x4]; fixRect5:double[1x4]; fixRect6:double[1x4]; fixRect7:double[1x4]; fixRect8:double[1x4]; fixRect9:double[1x4]; keyCode:double[1x1]; keyIsDown:double[1x1]; message:char[1]; my_string:char[1]; option:char[1]; optionZ:char[1]; pixPerDeg:double[1x1]; resultdir:char[1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenWidth:double[1x1]; screens:double[1x3]; seconds:double[1x1]; stereoMode:double[1x1]; t:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x0:double[1x1]; xEnd:double[1x1]; y:cell[1x1]; y0:double[1x1]; yEnd:double[1x1]; z:cell[1x1]	eye tracking	sourcedata/SUBG004/ses-02/eyetrack/setup/	format=MATLAB 5.0; created_on=Sat Apr 13 09:44:40 2024; FOV / eye-dominance check workspace (eye index, fixRects); no gaze timeseries; BIDS: not usable as eyetrack continuous data; EDF/ASC (if any) are the real eyetrack sources
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/GreenLevel.mat	SUBG004	ses-02	GreenLevel:float64[3x1]	stimulus definition	sourcedata/stimuli/display_calibration/	format=MATLAB 7.3 (HDF5); created_on=Thu Oct  6 08:53:03 2022; RGB gun-level calibration for anaglyph/grating display; shared lab setting; BIDS: optional sourcedata only; not required for events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/RedLevel.mat	SUBG004	ses-02	RedLevel:float64[3x1]	stimulus definition	sourcedata/stimuli/display_calibration/	format=MATLAB 7.3 (HDF5); created_on=Thu Oct  6 08:53:11 2022; RGB gun-level calibration for anaglyph/grating display; shared lab setting; BIDS: optional sourcedata only; not required for events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-16-43_AM__Subject_is_SUBG04__sequence_of_stimuli_for_fMRI_number_1_is_11   6  10  12   1   5   9   2   4   7   3   8.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:16:43 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-22-26_AM__scan_info_for_subject_SUBG04__selected_run_is_1__fmri_number_is1.mat	SUBG004	ses-02	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-02/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sat Apr 13 10:22:26 2024; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-23-09_AM__Subject_is_SUBG04__sequence_of_stimuli_for_fMRI_number_2_is_6   9  10   3   7   5   1  12   8   4   2  11.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:23:09 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-27-29_AM__scan_info_for_subject_SUBG04__selected_run_is_4__fmri_number_is2.mat	SUBG004	ses-02	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-02/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sat Apr 13 10:27:29 2024; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-28-34_AM__Subject_is_subg04__sequence_of_stimuli_for_fMRI_number_3_is_3   1   7   8   9   4  12  11   6   2  10   5.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:28:34 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-33-09_AM__scan_info_for_subject_subg04__selected_run_is_2__fmri_number_is3.mat	SUBG004	ses-02	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-02/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sat Apr 13 10:33:09 2024; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-33-40_AM__Subject_is_subg04__sequence_of_stimuli_for_fMRI_number_4_is_12   3  10   6  11   7   1   2   5   8   9   4.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:33:40 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence; Dated filename copy of Stim_order_selected (often duplicates fMRI_N.mat)
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/April-13-2024_10-37-30_AM__scan_info_for_subject_subg04__selected_run_is_5__fmri_number_is4.mat	SUBG004	ses-02	scan:struct[1x1]	task timing	sourcedata/SUBG004/ses-02/matlab/scan_timing/	format=MATLAB 5.0; created_on=Sat Apr 13 10:37:30 2024; scan struct with windowRect/ifi/runs (triggerTimes, vbl) and program path; BIDS: primary candidate for precise onsets/triggers → func/*_events.tsv
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/fMRI_1.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:16:43 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/fMRI_2.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:23:09 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/fMRI_3.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:28:34 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/fMRI_4.mat	SUBG004	ses-02	Stim_order_selected:double[1x12]	task timing	sourcedata/SUBG004/ses-02/matlab/stim_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:33:40 2024; Stimulus condition order (12 conditions) for one fMRI run; BIDS: required input to derive func/*_events.tsv condition sequence
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/runs_random.mat	SUBG004	ses-02	Devices:struct[1x8]; Stim_order_selected:double[1x12]; absMaxIndex:double[1x1]; absMeanIndex:double[1x1]; absMinIndex:double[1x1]; ans:double[1x1]; black:double[1x3]; blue:double[1x3]; centerX:double[1x1]; centerY:double[1x1]; color_poly:double[1x3]; comment:char[1]; conditionEnd:double[1x1]; conditionNone:double[1x1]; conditionStim:double[1x1]; currentConditionStartTime:double[1x1]; currentStimulus:double[1x1]; cycleBaseline:double[1x1]; cycleStim:double[1x1]; degPerPix:double[1x1]; diameter:double[1x2]; eye:double[1x1]; fMRI_number:double[1x1]; firstBaselineEnd:double[1x1]; firstPress:double[1x256]; fixBackRect:double[1x4]; fixColor:double[1x3]; fixRadius:double[1x1]; fixRadius_inner:double[1x1]; fixRect:double[1x4]; fixRect_inner:double[1x4]; fps:double[1x1]; framePoly:double[12x2]; framecount:double[1x1]; generateStimulus:function[1x1]; gratingRect:double[1x4]; gray:double[1x3]; grey:double[1x3]; i:double[1x1]; ifi:double[1x1]; keyID:double[1x256]; keyPress:double[1x1]; keyPressID:double[1x256]; keyTime:double[1x1]; keysOfInterest:double[1x256]; laststate:double[1x1]; nextT:double[1x1]; numCycles:double[1x1]; oldKeyID:double[1x256]; paradigm:double[26x2]; paradigmNumber:double[1x1]; pixPerDeg:double[1x1]; pressed:double[1x1]; psychtoolbox_forp_id:double[1x1]; radius:double[1x2]; red:double[1x3]; resultdir:char[1]; run:double[1x1]; runParadigmFinal:double[26x2]; run_number:double[1x1]; runs:double[1x1]; runs_random:double[1x2]; s:double[1x1]; scan:struct[1x1]; screenHeight:double[1x1]; screenNumber:double[1x1]; screenProperties:struct[1x1]; screenWidth:double[1x1]; screens:double[1x3]; start_ask:cell[1x1]; start_ask_yes_no:char[1]; state:double[1x1]; stereoMode:double[1x1]; stim:cell[1x12]; stimOrder:double[1x1]; stimRadius:double[1x2]; stimRunIndices:double[1x12x3]; stimulusTexture:double[1x1]; t:double[1x1]; text:char[1]; textHeight:double[1x1]; textMessage:char[1]; textRect:double[1x4]; textWidth:double[1x1]; timeProperties:struct[1x1]; trigger:logical[1x1]; vbl:double[12718x3]; white:double[1x3]; white_line_size:double[1x1]; windowPtr:double[1x1]; windowRect:double[1x4]; x:cell[1x1]; x0:double[1x1]; xEnd:double[1x1]; y0:double[1x1]; yEnd:double[1x1]; __function_workspace__:uint8[1x16704]	task timing	sourcedata/SUBG004/ses-02/matlab/run_workspace/	format=MATLAB 5.0; created_on=Sat Apr 13 10:37:30 2024                                        ; Psychtoolbox workspace dump: paradigm timing (vbl), Stim_order_selected, keyPress/firstPress, screen geometry; Also contains sparse behavioral key logs; classified as task timing for BIDS events; BIDS: richest timing source per completed run; large lab intermediate if scan_info present
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/2-Grating/Results/runs_random_record_SUBG04.mat	SUBG004	ses-02	runs_random_record:double[1x6]	task timing	sourcedata/SUBG004/ses-02/matlab/run_order/	format=MATLAB 5.0; created_on=Sat Apr 13 10:16:28 2024; Randomized run-ID order for the session; BIDS: useful for mapping run index → paradigm; sourcedata
/lustre07/scratch/alexrees/raw_original/Glaucoma/SUBG04_Session02_2024APR13/SUBG04_Session02_2024APR13_MATLAB/3-Movie_Data/Results/April-13-2024_10-38-02_AM_Subject_is_subg04_selected_run_id_1.mat	SUBG004	ses-02	ans:double[1x1]; answer:char[1]; change_eye:double[1x1]; comment:char[1]; outputFile:char[1]; outputFileID:double[1x1]; resultdir:char[1]; run_id:double[1x1]; t:char[1]; x:cell[1x1]; y:cell[1x1]	task timing	sourcedata/SUBG004/ses-02/matlab/run_selection/	format=MATLAB 5.0; created_on=Sat Apr 13 10:38:02 2024; Operator run-selection log (run_id, subject id cells, optional comment); BIDS: lab intermediate; low priority vs scan_info / stim_order
